Module ID,Module SN,Lat,Lon,GMT Date,GMT Time,Tag Count,Client,Farm,Field,Variety,Machine PIN,Operator,Gin ID,Producer ID,Local Time,Field Area (Sq m),Season Total,Moisture (%),Diameter (cm),Weight (kg),Drop Lat,Drop Lon,Field Total,Incremental Area (Sq m),Local Date,Comment
3500B98806111803D1DF2448,16405963848, 32.685289, -91.324881,2017/9/15,17:02:49,3,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,02:02:49,6975,1,11.1,238,0, 32.685252, -91.325890,1,6975,2017/9/16,                                                
3500B98806111703D1DF2447,16405963847, 32.686808, -91.324777,2017/9/15,19:05:46,2,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,04:05:44,12451,2,10.1,226,2208, 32.686921, -91.320960,2,5476,2017/9/16,                                                
3500B98806111603D1DF2446,16405963846, 32.686889, -91.325602,2017/9/15,19:21:41,2,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,04:21:40,18867,3, 9.5,238,2545, 32.687025, -91.320970,3,6416,2017/9/16,                                                
3500B98806111503D1DF2445,16405963845, 32.687100, -91.327341,2017/9/15,19:29:39,2,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,04:29:36,24867,4, 9.9,237,2542, 32.687340, -91.320969,4,6000,2017/9/16,                                                
3500B98806111403D1DF2444,16405963844, 32.687585, -91.325131,2017/9/15,19:56:15,3,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,04:56:13,30584,5,10.0,236,2572, 32.687526, -91.327111,5,5717,2017/9/16,                                                
3500B98806111303D1DF2443,16405963843, 32.687817, -91.324358,2017/9/15,20:05:03,2,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,05:05:03,36968,6, 9.9,239,2521, 32.687748, -91.326743,6,6384,2017/9/16,                                                
3500B98806111203D1DF2442,16405963842, 32.687993, -91.325492,2017/9/15,20:14:08,3,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,05:14:07,43717,7, 9.9,239,2529, 32.688210, -91.321696,7,6749,2017/9/16,                                                
3500B98806111103D1DF2441,16405963841, 32.688324, -91.324888,2017/9/15,20:22:44,3,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,05:22:43,49878,8,10.2,237,2472, 32.688391, -91.322565,8,6161,2017/9/16,                                                
3500B98806111003D1DF2440,16405963840, 32.688393, -91.322477,2017/9/15,20:33:10,3,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,05:33:09,54825,9,10.4,214,0, 32.688385, -91.322427,9,4947,2017/9/16,                                                
3500B98806110F03D1DF243F,16405963839, 32.728770, -91.317891,2017/9/15,21:21:13,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,06:21:12,12638,10, 0.0,237,2676, 32.728791, -91.316499,1,12638,2017/9/16,                                                
3500B98806110E03D1DF243E,16405963838, 32.728222, -91.319449,2017/9/15,21:34:26,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,06:34:24,21658,11, 0.0,237,2620, 32.728195, -91.321247,2,9020,2017/9/16,                                                
3500B98806110D03D1DF243D,16405963837, 32.727842, -91.316899,2017/9/15,21:48:58,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,06:48:56,31485,12, 0.0,239,0, 32.727823, -91.318119,3,9827,2017/9/16,                                                
3500B98806110C03D1DF243C,16405963836, 32.727499, -91.318863,2017/9/15,22:02:16,4,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,07:02:14,40682,13, 0.0,237,2613, 32.727528, -91.316975,4,9197,2017/9/16,                                                
3500B98806110B03D1DF243B,16405963835, 32.727318, -91.320524,2017/9/15,22:17:03,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,07:17:02,49322,14, 0.0,238,0, 32.727306, -91.321268,5,8640,2017/9/16,                                                
3500B98806110A03D1DF243A,16405963834, 32.727032, -91.318621,2017/9/15,22:32:02,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,07:32:00,58421,15, 0.0,239,0, 32.727017, -91.319581,6,9099,2017/9/16,                                                
3500B98806110903D1DF2439,16405963833, 32.726844, -91.317224,2017/9/15,22:50:09,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,07:50:08,67527,16, 0.0,239,2698, 32.726828, -91.318128,7,9106,2017/9/16,                                                
3500B98806110803D1DF2438,16405963832, 32.726638, -91.317044,2017/9/15,23:09:00,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,08:08:58,77005,17, 0.0,240,0, 32.726623, -91.317981,8,9478,2017/9/16,                                                
3500B98806110703D1DF2437,16405963831, 32.726425, -91.317167,2017/9/15,23:23:54,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,08:23:52,86349,18, 0.0,240,0, 32.726410, -91.318130,9,9344,2017/9/16,                                                
